Prefix,CRC,Length,SeqID,UnitID,GPS-Time,RTC-Time,Send-Time,Diff,Lon,Lat,Head,ID,Odom,HDOP,Input,speed,output,analog
@P,CRC,LEN,SEQ,868441037064497,1604003188,1604003186,sendTime,-2,49683436,5753803,135,2,422823,11,1,128,0,0
@P,CRC,LEN,SEQ,868441037064497,1604003488,1604003486,sendTime,-2,49624888,5810566,221,2,422915,11,1,41,0,0
@P,CRC,LEN,SEQ,868441037064497,1604003788,1604003786,sendTime,-2,49554941,5808434,154,2,423001,10,1,55,0,0
@P,CRC,LEN,SEQ,868441037064497,1604004088,1604004086,sendTime,-2,49554353,5827646,344,2,423029,9,1,33,0,0
@P,CRC,LEN,SEQ,868441037064497,1604004188,1604004186,sendTime,-2,49553843,5824395,192,102,423035,10,0,0,0,0
@P,CRC,LEN,SEQ,868441037064497,1604006968,1604006968,sendTime,0,49553775,5824408,192,102,423035,8,0,0,0,0
@P,CRC,LEN,SEQ,868441037064497,1604006991,1604004248,sendTime,-2743,49553843,5824395,192,101,423035,16,1,0,0,0
@P,CRC,LEN,SEQ,868441037064497,1604008394,1604008396,sendTime,2,49553835,5824290,192,101,423035,11,1,0,0,0
@P,CRC,LEN,SEQ,868441037064497,1604008465,1604008465,sendTime,0,49555726,5825548,38,102,423037,8,0,0,0,0
@P,CRC,LEN,SEQ,868441037064497,1604009686,1604008527,sendTime,-1159,49555726,5825560,38,101,423037,9,1,0,0,0
@P,CRC,LEN,SEQ,868441037064497,1604009744,1604009745,sendTime,1,49553801,5824389,157,102,423040,7,0,0,0,0
@P,CRC,LEN,SEQ,868441037064497,1604013540,1604009806,sendTime,-3734,49553801,5824389,157,101,423040,990,1,0,0,0
